user_id,accuracy,precision,recall,balanced_accuracy
82309,0.688995,0.180124,0.315217,0.534244
82354,0.661017,0.133333,0.222222,0.481111
82371,0.664699,0.156682,0.251852,0.497415
82396,0.669014,0.2657,0.297297,0.534706
82412,0.748454,0.064516,0.571429,0.662572
82461,0.681075,0.231481,0.318471,0.540495
82496,0.602362,0.266871,0.246459,0.492913
82581,0.723042,0.057778,0.288889,0.51765
82800,0.656739,0.1875,0.250996,0.500498
82822,0.630807,0.354633,0.30663,0.536552
82830,0.564143,0.316456,0.232019,0.484941
82909,0.697368,0.160584,0.323529,0.537842
82927,0.616861,0.13245,0.168776,0.448072
83023,0.622642,0.512397,0.338798,0.569059
83063,0.675532,0.305439,0.34434,0.558159
83073,0.630705,0.203252,0.238095,0.489074
83109,0.685504,0.183544,0.315217,0.533211
83110,0.61129,0.474684,0.321888,0.553709
83188,0.547733,0.387387,0.261398,0.497104
83224,0.674858,0.261194,0.324074,0.54446
83241,0.580745,0.195122,0.188235,0.454877
83255,0.691525,0.342105,0.38806,0.584381
83275,0.683818,0.140351,0.269663,0.508434
83348,0.76378,0.363636,0.571429,0.686658
83389,0.754415,0.059211,0.75,0.752253
83467,0.59194,0.174342,0.184028,0.453033
83530,0.681067,0.139896,0.241071,0.497573
83546,0.772947,0.176471,0.642857,0.71262
83556,0.617021,0.311828,0.266055,0.513177
83560,0.758319,0.114583,0.611111,0.688368
83589,0.586822,0.41411,0.283019,0.524043
83726,0.675781,0.292308,0.339286,0.554643
83787,0.660519,0.138211,0.221739,0.48202
83854,0.636364,0.226316,0.255952,0.501252
83860,0.65453,0.297659,0.310105,0.537603
83935,0.655654,0.199005,0.266667,0.50696
83945,0.741848,0.181818,0.478873,0.624399
83998,0.714286,0.180124,0.358025,0.561783
84017,0.715311,0.271028,0.414286,0.595074
84067,0.552732,0.305,0.222628,0.475836
84076,0.683798,0.161512,0.283133,0.51733
84085,0.66624,0.174359,0.253731,0.502637
84097,0.581376,0.328947,0.253165,0.498602
84158,0.663972,0.253394,0.307692,0.533232
84184,0.626604,0.159817,0.204678,0.468228
84216,0.693878,0.176,0.318841,0.537092
84219,0.63806,0.385714,0.333333,0.551693
84223,0.673203,0.151042,0.25,0.499422
84259,0.724868,0.315789,0.434783,0.612213
84268,0.732785,0.104418,0.412698,0.583822
84291,0.700284,0.244444,0.369748,0.568635
84292,0.757216,0.059603,0.9,0.827375
84323,0.602844,0.41791,0.298667,0.534627
84331,0.714107,0.242574,0.392,0.582834
84342,0.722408,0.087719,0.327869,0.539533
84561,0.74583,0.047904,0.888889,0.816322
84603,0.63035,0.340206,0.295964,0.531194
84620,0.650875,0.172805,0.245968,0.493091
84637,0.674383,0.189135,0.290123,0.520679
84680,0.592086,0.310541,0.251152,0.499007
